County,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
01051,01,2,1,20,264,16,0.8757619218357834,0.7343133739691646,0.5426676228038724,2000.0,100.0,475.69728433130155,0.0,483.7239485496158,1000.0,20.0,119.48772714234492,0.0,295.78569180898626,2
01053,01,2,1,10,401,16,0.8374129353233831,0.41134328358208955,0.21691542288557214,1000.0,18.0,219.46132696517415,0.0,399.5252040199921,50.0,1.0,11.286427064676618,0.0,19.16434488906352,2
01055,01,4,1,33,374,20,0.9354064314426083,0.7314091112103618,0.4091670388566324,1200.0,25.0,450.3892217507816,0.0,543.0776599903616,1000.0,4.0,66.00947320232245,0.0,219.3419534292163,4
01057,01,2,1,5,406,10,0.754,0.385,0.222,1000.0,10.0,229.31431,0.0,406.7381142188806,1000.0,1.0,90.804113,0.0,277.41633877557933,2
01059,01,2,1,11,371,12,0.8890526315789473,0.6785263157894736,0.32863157894736844,1200.0,25.0,340.71065263157897,0.0,461.5574938891203,1000.0,4.0,65.24904042105263,0.0,223.99784903346674,2
01061,01,2,1,6,564,13,0.8420723117858819,0.6135545468774456,0.3313507591172327,1000.0,25.0,286.0835248082642,0.0,431.75713174557023,1000.0,3.0,90.29375082172484,0.0,270.2797687942313,2
01063,01,1,1,4,218,8,0.9144295302013423,0.5234899328859061,0.003355704697986577,500.0,25.0,18.741342281879195,0.0,21.71988031159179,20.0,2.0,2.2287852348993287,0.0,1.5767089480115242,1
01065,01,1,1,7,216,12,0.9602649006622517,0.7268211920529801,0.25662251655629137,1000.0,25.0,203.38187417218543,0.0,373.5943499940331,100.0,4.0,17.760864238410594,0.0,28.46855685989279,1
01067,01,2,1,6,314,8,0.8227790432801823,0.6009111617312073,0.16993166287015946,1200.0,25.0,212.8346624145786,0.0,431.6776710768974,100.0,3.0,7.982297038724374,0.0,13.500136060328083,2
01069,01,2,1,26,408,14,0.8491405216973194,0.7146892655367232,0.5045077533357375,1200.0,100.0,513.4082844091838,0.0,519.9281533701414,1000.0,25.0,83.92582570020436,0.0,243.4575152972257,2
01071,01,2,1,16,477,17,0.9096622152395916,0.7558697739373309,0.5786855197695732,2000.0,1000.0,543.5546844723749,0.0,487.6423038298677,1000.0,35.0,375.5709843763638,0.0,477.2398577422155,2
01073,01,12,1,189,845,23,0.9079832516420931,0.7098009644196615,0.4085355770312014,1200.0,25.0,375.5917873778766,0.0,466.1489088962678,1000.0,4.0,101.5360527718797,0.0,281.10049729026827,12
01075,01,1,1,4,380,10,0.8354735152487961,0.47030497592295345,0.36276083467094705,1000.0,18.0,333.8292086677368,0.0,449.03220421250455,1000.0,1.0,203.2635296950241,0.0,395.8902853765687,1
01077,01,2,1,26,388,15,0.9627086161462908,0.7260241156272459,0.3139822726183822,1200.0,25.0,329.6580225185659,0.0,502.13936825728484,1000.0,4.0,54.65387814421464,0.0,201.7527230399376,2
01079,01,1,1,11,357,7,0.9438502673796791,0.7122326203208557,0.2376336898395722,1000.0,25.0,220.475506684492,0.0,390.8774427935527,35.0,4.0,10.079881016042782,0.0,13.088526845096249,1
