LEADID,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
5302280,53,1,1,11,271,17,0.8966264314453729,0.7644692045806252,0.26586196224079234,1200.0,30.0,251.54627050448778,0.0,451.1464484009796,1000.0,10.0,26.46851129681213,0.0,112.06187977736109,1
5302310,53,1,1,8,783,25,0.9560642684487416,0.7392293473624343,0.45272287786151,1000.0,30.0,459.60671121854114,0.0,486.0980633272872,1000.0,30.0,372.22640864495946,0.0,474.37372207288246,1
5302340,53,1,1,2,509,12,0.49961919268849964,0.2536176694592536,0.04950495049504951,1200.0,3.0,23.727341964965728,0.0,64.79116833508397,500.0,0.75,33.72454074638233,0.0,113.43381927263802,1
5302370,53,1,2,7,408,9,0.842925659472422,0.5683453237410072,0.2434052757793765,10000.0,25.0,219.16636690647482,0.0,473.8294708821043,5000.0,3.0,74.22064868105515,0.0,272.6111858536864,1
5302400,53,1,1,44,111,19,0.8737924587098784,0.8027422873169212,0.4381427235899034,1200.0,25.0,489.9693829853537,0.0,540.4028129883902,1000.0,4.0,224.84983733250235,0.0,406.1510064778887,1
5302460,53,1,1,10,658,19,0.7321709491347667,0.42501310959622446,0.11484006292606187,1000.0,20.0,123.04214735186156,0.0,298.39835813272947,500.0,3.0,12.135786313581542,0.0,42.11750903196966,1
5302490,53,1,2,6,541,10,0.5578484438430311,0.41305818673883626,0.2662381596752368,1200.0,10.0,301.45662381596753,0.0,491.6204903968579,1000.0,0.768,98.22186332882272,0.0,286.8144912628694,1
5302520,53,1,2,4,734,17,0.9272123225611598,0.6680761099365751,0.18453639383871942,1000.0,25.0,102.80172153427968,0.0,239.27013837476994,1000.0,4.0,84.31222410147991,0.0,244.44412773473312,1
5302550,53,1,1,6,338,15,0.9222817764165391,0.6458652373660031,0.4770290964777948,1000.0,32.5,477.2645482388974,0.0,490.01289589685217,1000.0,10.0,160.14386064318532,0.0,327.9557039690371,1
5302610,53,1,2,8,821,21,0.8416277151498488,0.6900375767574007,0.5115938044175603,1000.0,1000.0,516.494317661076,0.0,491.5616749310471,1000.0,35.0,461.70253780588394,0.0,493.73550172120554,1
5302640,53,1,1,3,276,12,0.5803174603174603,0.24888888888888888,0.017142857142857144,1200.0,15.0,32.130963809523806,0.0,131.6734008131125,1000.0,1.0,16.46981587301587,0.0,114.47786546175725,1
5302670,53,1,1,46,358,17,0.9257832830227959,0.6540022899968773,0.3713958571874675,1200.0,25.0,418.88263766003956,0.0,525.9438466486733,1000.0,10.0,190.76805495992505,0.0,380.4895097174666,1
5302700,53,1,1,43,168,16,0.9337257210123602,0.67781047675103,0.4008240141259564,3000.0,25.0,339.2180694526192,0.0,499.51423863871844,3000.0,10.0,51.52444991171277,0.0,186.84174007047213,1
5302730,53,1,1,2,245,9,0.9265944645006017,0.6377858002406739,0.049338146811071,1000.0,30.0,64.435706377858,0.0,181.31939965255194,100.0,10.0,8.844199759326113,0.0,13.155181962484289,1
