StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
38,174,53,228,2959,47,0.9707933949149864,0.9355434317539054,0.818005088209238,5000.0,1000.0,891.1731379266879,0.0,805.7420774164523,5000.0,1000.0,762.4180866699925,0.0,682.7157179668486,174
39,582,88,3162,937,162,0.7583509478494344,0.53208342756737,0.28571035066659706,10000.0,25.0,208.23661202397315,0.0,386.96637377631885,10000.0,3.0,42.310230711742435,0.0,230.42509951127903,611
40,509,77,1205,3051,118,0.7458604932551834,0.48282220960867983,0.24024176857703886,10000.0,18.0,168.01128733813786,0.0,358.89912807517743,10000.0,3.0,76.39123214572872,0.0,263.5587918603706,510
41,197,36,998,3769,103,0.7771397647326896,0.6426090176308069,0.29312825771169787,10000.0,25.0,236.66293557549346,0.0,462.73557144933875,10000.0,5.0,90.94652142299695,0.0,342.79152076318746,197
42,500,67,3445,1279,123,0.7755850543344355,0.6125903520689949,0.4309428997607298,10000.0,25.0,413.04621964518554,0.0,770.7278242645615,10000.0,3.0,115.87586806427365,0.0,650.8171259962811,500
44,36,5,247,502,22,0.9007592120749641,0.7596647567805269,0.6055848002379813,1200.0,940.0,575.5856075119314,0.0,468.76329440341675,940.0,35.0,223.96567109432596,0.0,367.67948545274413,36
45,83,46,1321,778,64,0.8965163605377364,0.6922553198777911,0.41151949711926933,10000.0,25.0,366.04406295429584,0.0,476.9908002767172,10000.0,4.0,105.61166355720462,0.0,292.47875435537355,83
46,149,66,242,2566,73,0.9746950739997545,0.855132280070448,0.49002649576638097,5000.0,60.0,369.5249152844104,0.0,448.56366433542655,5000.0,10.0,249.23564567918515,0.0,397.9240505040482,149
47,157,95,1701,889,121,0.8436167980741625,0.6541291216678814,0.37808089842973563,10000.0,25.0,458.816033194196,0.0,1025.9476484883057,10000.0,4.0,221.2281511986793,0.0,975.2653757874939,157
48,1009,254,6888,3962,280,0.9018620556820833,0.7095452749583536,0.35400041294531037,10000.0,25.0,242.8330133577096,0.0,434.4990058403041,10000.0,5.0,90.56487909671259,0.0,281.4902748272483,1020
49,41,29,716,2282,70,0.9415649280264272,0.7983495113205428,0.38131875138527493,10000.0,50.0,774.2649048904381,0.0,2130.6878928403685,10000.0,10.0,577.6778584696849,0.0,2137.620004680225,41
50,52,14,193,827,36,0.7910189830448698,0.5707962651101687,0.22741740656162657,3000.0,25.0,264.1585180704833,0.0,487.41587963121816,3000.0,2.0,109.15809393653508,0.0,349.49056263730887,52
51,137,133,2192,893,115,0.7771944490887811,0.6240093629827788,0.4237690185587694,10000.0,25.0,378.94919674803543,0.0,609.6203427239315,10000.0,3.0,127.9410102324026,0.0,476.39552972714773,137
53,295,39,1780,1851,113,0.8263262734966093,0.5959023830943525,0.26303322813463237,10000.0,25.0,264.4008985453915,0.0,492.5202308393575,10000.0,4.0,98.14847887907702,0.0,332.60821214251564,295
54,55,55,546,873,61,0.7623891514666631,0.35684991831328705,0.19123094817095718,3000.0,18.0,184.08364610492205,0.0,403.7074583067947,3000.0,1.0,20.71465314409805,0.0,108.27742234902682,55
55,421,72,1528,1575,117,0.7143123489080322,0.47284389799767673,0.24284310102905554,10000.0,18.0,188.57752160823438,0.0,490.0487164279766,10000.0,2.0,69.84764991631829,0.0,404.46946246809586,421
56,48,23,160,2950,43,0.902140998745149,0.7545385394309081,0.3298756292423897,10000.0,50.0,214.39822051463426,0.0,641.6588034226169,10000.0,10.0,103.75353576325467,0.0,597.8486253843221,48
60,1,3,16,127,2,0.9473684210526315,0.9473684210526315,0.9473684210526315,100.0,100.0,94.76120882852292,0.0,22.245401383807952,100.0,100.0,94.74770797962648,0.0,22.30255548876732,1
66,1,1,57,249,3,0.9594307561597282,0.9594307561597282,0.3982582837723025,1000.0,50.0,67.05607476635514,0.0,70.73943605302487,1000.0,5.0,32.754672897196265,0.0,72.14436469889193,1
69,1,3,21,134,2,0.9850931677018634,0.9850931677018634,0.9850931677018634,150.0,100.0,102.48447204968944,0.0,18.489613966017036,100.0,50.0,42.64099378881988,0.0,37.19899701269833,1
72,1,78,981,363,38,0.8941321463538229,0.7620608650227876,0.5193608828525045,2000.0,100.0,152.97946923748245,0.0,276.24603401906296,1000.0,10.0,63.57489294349857,0.0,214.7521624834982,1
78,1,3,32,405,3,0.6736580654063751,0.6713122671450256,0.3049537739754381,1000.0,25.0,215.2697668000552,0.0,387.45616646044397,100.0,5.0,8.994066510280115,0.0,11.695645504764082,1
